product_id,product_name,product_type,unit_price,order_detail_id,order_id,quantity,customer_id,order_date,customer_name,email,phone,total_sales
1,Steel Pipe,Pipe,250,14,71,9,24,2024-04-15 01:59:23.107232,Victoria Wu,Daniel518@yahoo.com,7075477759,2250
5,Plastic Elbow,Elbow,30,40,71,8,24,2024-04-15 01:59:23.107232,Victoria Wu,Daniel518@yahoo.com,7075477759,240
10,Galvanized Iron Tube,Tube,200,151,71,2,24,2024-04-15 01:59:23.107232,Victoria Wu,Daniel518@yahoo.com,7075477759,400
1,Steel Pipe,Pipe,250,19,68,4,24,2024-02-28 02:21:43.833606,Victoria Wu,Daniel518@yahoo.com,7075477759,1000
1,Steel Pipe,Pipe,250,176,68,9,24,2024-02-28 02:21:43.833606,Victoria Wu,Daniel518@yahoo.com,7075477759,2250
8,Plastic sheets,Sheets,60,62,68,1,24,2024-02-28 02:21:43.833606,Victoria Wu,Daniel518@yahoo.com,7075477759,60
2,PVC Fitting,Fitting,50,27,80,10,24,2023-08-28 23:30:14.041000,Victoria Wu,Daniel518@yahoo.com,7075477759,500
10,Galvanized Iron Tube,Tube,200,26,80,2,24,2023-08-28 23:30:14.041000,Victoria Wu,Daniel518@yahoo.com,7075477759,400
1,Steel Pipe,Pipe,250,36,74,7,25,2023-11-26 11:14:56.051181,Peter Johnson,Jesse475@gmail.com,8208039897,1750
5,Plastic Elbow,Elbow,30,160,74,1,25,2023-11-26 11:14:56.051181,Peter Johnson,Jesse475@gmail.com,8208039897,30
6,Aluminum Coupling,Coupling,100,89,74,1,25,2023-11-26 11:14:56.051181,Peter Johnson,Jesse475@gmail.com,8208039897,100
1,Steel Pipe,Pipe,250,105,37,5,25,2023-10-29 15:20:27.524971,Peter Johnson,Jesse475@gmail.com,8208039897,1250
1,Steel Pipe,Pipe,250,145,37,2,25,2023-10-29 15:20:27.524971,Peter Johnson,Jesse475@gmail.com,8208039897,500
3,Bronze Valve,Valve,500,68,37,7,25,2023-10-29 15:20:27.524971,Peter Johnson,Jesse475@gmail.com,8208039897,3500
4,Copper Tube,Tube,150,95,37,7,25,2023-10-29 15:20:27.524971,Peter Johnson,Jesse475@gmail.com,8208039897,1050
7,Stainless Steel Pipe,Pipe,350,70,37,7,25,2023-10-29 15:20:27.524971,Peter Johnson,Jesse475@gmail.com,8208039897,2450
10,Galvanized Iron Tube,Tube,200,157,37,2,25,2023-10-29 15:20:27.524971,Peter Johnson,Jesse475@gmail.com,8208039897,400
3,Bronze Valve,Valve,500,10,57,10,25,2024-01-01 12:59:18.093968,Peter Johnson,Jesse475@gmail.com,8208039897,5000
10,Galvanized Iron Tube,Tube,200,129,57,6,25,2024-01-01 12:59:18.093968,Peter Johnson,Jesse475@gmail.com,8208039897,1200
7,Stainless Steel Pipe,Pipe,350,18,86,6,25,2023-12-30 17:11:21.812770,Peter Johnson,Jesse475@gmail.com,8208039897,2100
10,Galvanized Iron Tube,Tube,200,110,86,4,25,2023-12-30 17:11:21.812770,Peter Johnson,Jesse475@gmail.com,8208039897,800
1,Steel Pipe,Pipe,250,52,76,6,22,2023-12-23 19:17:17.718274,Jason Horton,Charles883@yahoo.com,6616269802,1500
9,Brass Valve,Valve,600,11,76,10,22,2023-12-23 19:17:17.718274,Jason Horton,Charles883@yahoo.com,6616269802,6000
4,Copper Tube,Tube,150,121,10,8,22,2023-10-02 00:54:21.518118,Jason Horton,Charles883@yahoo.com,6616269802,1200
6,Aluminum Coupling,Coupling,100,113,10,9,22,2023-10-02 00:54:21.518118,Jason Horton,Charles883@yahoo.com,6616269802,900
10,Galvanized Iron Tube,Tube,200,179,10,3,22,2023-10-02 00:54:21.518118,Jason Horton,Charles883@yahoo.com,6616269802,600
